_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
287,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-02-12,2018-03-01,N
288,Beach Arms Retirement Residence,505 Kingston Rd,Retirement Home,Respiratory,Influenza B,,2018-02-12,2018-02-24,N
289,Michael Garron Hospital - Cardiology Unit,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,,2018-02-11,2018-02-15,N
290,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,Respiratory syncytial virus,2018-02-10,2018-02-19,N
291,Providence Healthcare - Houses of Providence - 1 East,3276 St Clair Ave E,LTCH,Respiratory,Influenza B,,2018-02-10,2018-02-17,N
292,Ivan Franko Home,767 Royal York Rd,LTCH,Respiratory,Influenza A (H3),,2018-02-09,2018-02-21,N
293,Fudger House,439 Sherbourne St,LTCH,Respiratory,Influenza B,,2018-02-08,2018-02-26,N
294,Hillcrest Reactivation Centre - 2nd Fl (Seniors),47 Austin Terr,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2018-02-08,2018-02-17,N
295,McCall Centre for Continuing Care - 3rd Fl Rehabilitation,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-02-08,2018-02-21,N
296,St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza B,,2018-02-07,2018-02-14,N
297,Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Enteric,Norovirus-like,,2018-02-07,2018-02-22,N
298,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Enteric,Clostridium difficile,Norovirus-like,2018-02-06,2018-02-20,N
299,Chester Village - Diamond Unit - Ground Fl,3555 Danforth Ave,LTCH,Respiratory,Influenza B,,2018-02-06,2018-02-14,N
300,The Westbury - 2nd & 6th Fl - Markland Woods,495 The West Mall,LTCH,Enteric,Norovirus-like,,2018-02-06,2018-02-26,N
301,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza B,,2018-02-06,2018-02-28,N
302,Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-02-06,2018-02-21,N
303,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,,2018-02-06,2018-02-19,N
304,Harold and Grace Baker Retirement Residence,1 Northwestern Ave,Retirement Home,Respiratory,Influenza A (H3N2),Influenza B,2018-02-06,2018-02-22,N
305,Suomi Koti Nursing Home,795 Eglinton Ave E,LTCH,Respiratory,Influenza A and B,,2018-02-05,2018-02-16,N
306,Rayoak Place Retirement Residence,1340 York Mills Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-02-05,2018-02-16,N
307,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-15,N
308,Cummer Lodge - 4 North,205 Cummer Ave,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-22,N
309,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-22,N
310,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-26,N
