_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A (Not subtyped),,2018-12-31,2019-01-25,N
2,Princess Margaret Hospital - 15B,610 Universtiy Ave,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2018-12-31,2019-01-08,N
3,Villa Colombo - 4th Fl Fusco,40 Playfair Ave,LTCH,Enteric,Unable to identify,,2018-12-29,2019-01-12,N
4,Hellenic Home  (Scarborough) - 2A & 3A,2411 Lawrence Ave E,LTCH,Enteric,Norovirus-like,,2018-12-28,2019-01-16,N
5,Hillcrest Reactivation Centre - 2nd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-12-28,2019-01-08,N
6,Mon Sheong Home for the Aged - 4th & 5th Fl,36 D'Arcy St,LTCH,Respiratory,Respiratory syncytial virus,,2018-12-27,2019-01-23,N
7,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Enteric,Unable to identify,,2018-12-27,2019-01-03,N
8,Scarborough Health Network - General Hospital - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-12-24,2018-12-30,N
9,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,2018-12-23,2019-01-04,N
10,The Rekai Centre at Sherbourne Place,345 Sherbourne St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-12-22,2019-01-07,N
11,Cheltenham Care Community,5935 Bathurst St,LTCH,Enteric,Norovirus-like,,2018-12-21,2018-12-30,N
12,Providence Healthcare - B5 West,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-12-21,2018-12-30,N
13,Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-12-19,2018-12-23,N
14,Providence Healthcare - Houses of Providence - 2nd Fl East,3276 St Clair Ave E,LTCH,Respiratory,Unable to identify,,2018-12-18,2018-12-30,N
15,Harmony Hills Care Community,1800 O'Connor Dr,LTCH,Respiratory,Respiratory syncytial virus,,2018-12-17,2019-01-12,N
16,Toronto Western Hospital - 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-12-17,2018-12-31,N
17,Rayoak Place,1340 York Mills Rd,Retirement Home,Respiratory,Respiratory syncytial virus,,2018-12-17,2018-12-31,N
18,Westside,1145 Albion Rd,LTCH,Respiratory,Unable to identify,,2018-12-15,2018-12-31,N
19,Princess Margaret Hospital - 15A,610 University Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-12-15,2018-12-23,N
20,William Osler Health Centre - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-12-13,2018-12-20,N
21,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus-like,,2018-12-13,2019-01-02,N
22,Village of Humber Heights Long Term Care,2245 Lawrence Ave W,LTCH,Enteric,Norovirus-like,,2018-12-12,2019-01-02,N
23,Holland Bloorview Kids Rehabilitation Hospital - BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,Coronavirus,2018-12-10,2018-12-21,N
24,Providence Healthcare - B4 Rehab,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H1N1),,2018-12-10,2018-12-19,N
25,Village of Humber Heights Retirement Residence,2245 Lawrence Ave W,Retirement Home,Enteric,Norovirus-like,,2018-12-10,2019-01-03,N
26,St. Michael's Hospital  - 7 CN,30 Bond St,Hospital-Acute Care,Other,CPE - Colonization,CPE - Infection,2018-12-10,2018-12-15,N
27,William Osler Health Centre - 7 East Cardiology Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-12-08,2018-12-16,N
28,The O'Neill Centre - 2nd & 4th Fl,33 Christie St,LTCH,Respiratory,Unable to identify,,2018-12-06,2018-12-20,N
29,Humber Valley Terrace - 2nd Fl,95 Humber College Blvd,LTCH,Respiratory,Unable to identify,,2018-12-03,2018-12-12,N
30,St. Joseph's Health Centre,30 The Queensway,Hospital-Acute Care,Enteric,Clostridium difficile (Toxin A & B),,2018-11-29,2019-04-12,N
31,The Annex Retirement Residence,123 Spadina Rd,Retirement Home,Respiratory,Parainfluenza type 3,,2018-11-29,2018-12-14,N
32,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Respiratory,Respiratory syncytial virus,,2018-11-29,2019-01-07,N
33,Hellenic Care for Seniors,215 Tyrrel Ave,LTCH,Enteric,Norovirus-like,,2018-11-28,2018-12-10,N
34,Copernicus Lodge,66 Roncesvalles Ave,LTCH,Enteric,Unable to identify,,2018-11-27,2018-12-08,N
35,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Metapneumovirus,,2018-11-26,2018-12-14,N
36,Fudger House - 2 East,439 Sherbourne St,LTCH,Respiratory,Unable to identify,,2018-11-26,2018-12-04,N
37,Cedarvale Terrace,429 Walmer Rd,LTCH,Enteric,Norovirus-like,,2018-11-26,2019-01-02,N
38,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-11-26,2018-12-08,N
39,St. John's Rehabilitation Hospital - A2,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H1N1),,2018-11-18,2018-11-28,N
40,Extendicare Rouge Valley - Morrish House,551 Conlins Rd,LTCH,Respiratory,Unable to identify,,2018-11-14,2018-11-29,N
41,"Dom Lipa Nursing Home - K-Wing, Retirement & 2 West",52 Neilson Dr,LTCH,Respiratory,Influenza A (H3),,2018-11-13,2018-11-24,N
42,Wesburn Manor - 2N,400 The West Mall,LTCH,Respiratory,Unable to identify,,2018-11-09,2018-11-19,N
43,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Unable to identify,,2018-11-08,2018-11-29,N
44,McCowan Retirement Residence - 6th Fl,2881 Eglinton Ave E,Retirement Home,Respiratory,Influenza A (H3),,2018-11-05,2018-11-15,N
45,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Unable to identify,,2018-11-05,2018-11-20,N
46,Kensington Gardens - North Building - 2 West,45 Brunswick Ave,LTCH,Respiratory,Respiratory syncytial virus,,2018-10-31,2018-11-14,N
47,Baycrest Apotex Centre - Jewish Home for the Aged - 4RF,3560 Bathurst St,LTCH,Respiratory,Unable to identify,,2018-10-29,2018-11-16,N
48,Amica at Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Unable to identify,,2018-10-29,2018-11-09,N
49,Leaside Retirement Residence - 2nd Fl (Secure Unit) & 7th Fl,10 William Morgan Dr,Retirement Home,Respiratory,Unable to identify,,2018-10-26,2018-11-07,N
50,Scarborough and Rouge Hospital - General Site - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Other,CPE - Colonization,,2018-10-26,2018-11-11,N
51,Holland Bloorview Kids Rehabilitation Institute - 3W - BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,,2018-10-26,2018-11-04,N
52,Extendicare Craiglee Nursing Home,102 Craiglee Dr,LTCH,Respiratory,Unable to identify,,2018-10-24,2018-11-06,N
53,Seven Oaks - 4th Fl,9 Neilson Rd,LTCH,Respiratory,Unable to identify,,2018-10-24,2018-11-02,N
54,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-10-22,2018-12-03,N
55,Amica at Bayview Gardens - 2nd & 4th Fl,19 Rean Dr,Retirement Home,Respiratory,Unable to identify,,2018-10-19,2018-10-29,N
56,Main Street Terrace,77 Main St,LTCH,Respiratory,Influenza A (H3),,2018-10-18,2018-11-04,N
57,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-10-15,2018-10-24,N
58,Cummer Lodge - Special Care Unit - 1st Fl,205 Cummer Ave,LTCH,Respiratory,Unable to identify,,2018-10-11,2018-10-26,N
59,Michael Garron Hospital - J5,825 Coxwell Ave,Hospital-Acute Care,Respiratory,Unable to identify,,2018-10-11,2018-10-19,N
60,Bendale Acres - 3rd Fl,2920 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-10-03,2018-10-10,N
61,Bradgate Arms,54 Foxbar Rd,Retirement Home,Respiratory,Unable to identify,,2018-10-02,2018-10-08,N
62,Seven Oaks,9 Neilson Rd,LTCH,Respiratory,Parainfluenza type 3,,2018-10-02,2018-10-22,N
63,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Unable to identify,,2018-10-02,2018-10-15,N
64,Sunnybrook Health Sciences Centre - K2E,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,,2018-09-27,2018-10-09,N
65,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Unable to identify,,2018-09-26,2018-10-10,N
66,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Unable to identify,,2018-09-26,2018-10-23,N
67,Castleview Wychwood Towers - 4th Fl,351 Christie St,LTCH,Respiratory,Unable to identify,,2018-09-24,2018-10-04,N
68,Chartwell Gibson Long Term Care - 1st & 4th Fl,1925 Steeles Ave E,LTCH,Respiratory,Unable to identify,,2018-09-24,2018-10-09,N
69,"The Village of Humber Heights - Islington, Brule & Lambton",2245 Lawrence Ave W,LTCH,Respiratory,Unable to identify,,2018-09-23,2018-10-03,N
70,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Unable to identify,,2018-09-21,2018-10-09,N
71,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Unable to identify,,2018-09-21,2018-09-29,N
72,Shepherd Lodge - 2nd & 3rd Fl,3760 Sheppard Ave E,LTCH,Respiratory,Unable to identify,,2018-09-20,2018-10-05,N
73,Fudger House - 2 & 3 East,439 Sherbourne St,LTCH,Respiratory,Unable to identify,,2018-09-20,2018-10-05,N
74,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Parainfluenza type 3,,2018-09-14,2018-09-24,N
75,Norfinch Care Community - 3A,22 Norfinch Dr,LTCH,Respiratory,Unable to identify,,2018-09-12,2018-09-21,N
76,Fairview Nursing Home - Dundas & Queen,14 Cross St,LTCH,Respiratory,Unable to identify,,2018-09-12,2018-09-25,N
77,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-09-11,2018-09-25,N
78,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Unable to identify,,2018-09-07,2018-09-18,N
79,Harold and Grace Baker Centre - A Wing & C Wing,1 Northwestern Ave,LTCH,Respiratory,Unable to identify,,2018-09-06,2018-09-24,N
80,Centre for Addiction and Mental Health - College Site -GPU-B,250 College St,Hospital-Psychiatric,Respiratory,Unable to identify,,2018-09-05,2018-09-10,N
81,The Donway Place,8 The Donway E,Retirement Home,Enteric,Unable to identify,,2018-09-02,2018-09-14,N
82,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,LTCH,Enteric,Unable to identify,,2018-08-31,2018-09-06,N
83,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Respiratory,Unable to identify,,2018-08-31,2018-09-10,N
84,St. John's Rehabilitation Hospital - A Lower Level,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,,2018-08-30,2018-09-18,N
85,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Unable to identify,,2018-08-28,2018-09-29,N
86,Hospital for Sick Children - 5B,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,,2018-08-24,2018-09-04,N
87,Kipling Acres - 3N,2233 Kipling Ave,LTCH,Respiratory,Unable to identify,,2018-08-13,2018-08-27,N
88,Sunnybrook Health Sciences Centre - CRCU,2075 Bayview Ave,Hospital-Acute Care,Other,CPE - Colonization,,2018-08-13,2018-08-15,N
89,Midland Gardens Care Community - 3rd & 5th Fl,130 Midland Ave,LTCH,Respiratory,Unable to identify,,2018-08-03,2018-08-22,N
90,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Unable to identify,,2018-08-03,2018-08-21,N
91,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Parainfluenza type 3,,2018-08-02,2018-08-21,N
92,North York Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,Unable to identify,,2018-07-31,2018-08-20,N
93,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Respiratory,Unable to identify,,2018-07-30,2018-08-20,N
94,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Unable to identify,,2018-07-27,2018-08-14,N
95,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-07-27,2018-08-22,N
96,True Davidson Acres - 4 East Unit & 4 West Unit,200 Dawes Rd,LTCH,Respiratory,Unable to identify,,2018-07-26,2018-08-08,N
97,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2018-07-23,2018-08-01,N
98,Belmont House - 2WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,2018-07-17,2018-08-01,N
99,Westside,1145 Albion Rd,LTCH,Respiratory,Unable to identify,,2018-07-13,2018-08-10,N
100,Centre for Addiction and Mental Health - Queen Site-Unit 1-2,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2018-07-12,2018-07-22,N
101,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-07-11,2018-07-20,N
102,Cedarvale Terrace - 2nd & 4th Fl,429 Walmer Rd,LTCH,Respiratory,Unable to identify,,2018-07-09,2018-07-26,N
103,Harold and Grace Baker Centre - A Wing,1 Northwestern Ave,LTCH,Respiratory,Unable to identify,,2018-07-03,2018-07-19,N
104,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2018-06-29,2018-07-19,N
105,Eatonville Care Centre - 2nd & 3rd Fl,420 The East Mall,LTCH,Enteric,Unable to identify,,2018-06-22,2018-07-03,N
106,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Parainfluenza type 3,,2018-06-19,2018-07-01,N
107,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Respiratory,Unable to identify,,2018-06-19,2018-07-14,N
108,Yee Hong Centre - Scarborough Finch - 2nd Fl,60 Scottfield Dr,LTCH,Respiratory,Unable to identify,,2018-06-14,2018-06-25,N
109,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,,2018-06-13,2018-06-23,N
110,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2018-06-12,2018-06-22,N
111,The Wexford - 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza type 3,,2018-06-07,2018-06-17,N
112,Yee Hong Centre - Scarborough Finch - 6th Fl,60 Scottfield Dr,LTCH,Respiratory,Parainfluenza type 3,,2018-05-25,2018-06-11,N
113,St. George Care Community - 2nd Fl,225 St George St,LTCH,Respiratory,Influenza A (H3),,2018-05-23,2018-06-01,N
114,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Unable to identify,,2018-05-23,2018-06-20,N
115,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,"Influenza A (H3), Parainfluenza type 2",Respiratory syncytial virus,2018-05-22,2018-06-06,N
116,Nisbet Lodge,740 Pape Ave,LTCH,Enteric,Norovirus-like,,2018-05-22,2018-06-04,N
117,Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-05-15,2018-05-22,N
118,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Enteric,Unable to identify,,2018-05-14,2018-05-22,N
119,"Chartwell Gibson Long Term Care - 1st, 2nd & 3rd Fl",1925 Steeles Ave E,LTCH,Respiratory,Unable to identify,,2018-05-14,2018-06-13,N
120,Carefree Lodge - 1st & 2nd Fl,306 Finch Ave E,LTCH,Respiratory,Unable to identify,,2018-05-10,2018-05-25,N
121,Holland Bloorview Kids Rehabilitation Hospital - BIRT 3W,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Enterovirus/Rhinovirus,2018-05-10,2018-05-19,N
122,The Rekai Centre at Sherbourne Place,345 Sherbourne St,LTCH,Respiratory,Unable to identify,,2018-05-08,2018-05-23,N
123,Beach Arms Retirement Residence,505 Kingston Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-05-04,2018-05-13,N
124,Belmont House - 2E,55 Belmont St,LTCH,Respiratory,Unable to identify,,2018-05-03,2018-05-15,N
125,Villa Colombo - 3 Fusco,40 Playfair Ave,LTCH,Respiratory,Metapneumovirus,,2018-05-03,2018-05-21,N
126,Belmont House Retirement Home,55 Belmont St,Retirement Home,Respiratory,Influenza A (H3),,2018-05-02,2018-05-14,N
127,True Davidson Acres - 5 East & 5 West Units,200 Dawes Rd,LTCH,Enteric,Norovirus-like,,2018-05-01,2018-05-15,N
128,Better Living at Thompson House - 3rd Fl Unit,1 Overland Dr,LTCH,Respiratory,Parainfluenza type 3,,2018-04-30,2018-05-17,N
129,Kennedy Lodge Nursing Home - Main Fl,1400 Kennedy Rd,LTCH,Respiratory,Influenza A (H3),,2018-04-30,2018-05-10,N
130,Westside,1145 Albion Rd,LTCH,Respiratory,Metapneumovirus,,2018-04-29,2018-05-28,N
131,Midland Gardens Care Community - 4th & 5th Fl,130 Midland Ave,LTCH,Respiratory,Metapneumovirus,,2018-04-26,2018-05-09,N
132,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Influenza B,,2018-04-26,2018-05-08,N
133,Amica at Bayview,15 Barberry Pl,Retirement Home,Enteric,Unable to identify,,2018-04-25,2018-05-08,N
134,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-04-24,2018-04-30,N
135,Village of Humber Heights,2245 Lawrence Ave W,LTCH,Respiratory,Influenza B,,2018-04-22,2018-05-04,N
136,Castleview Wychwood Towers - 4th & 6th Fl,351 Christie St,LTCH,Respiratory,Metapneumovirus,,2018-04-21,2018-04-30,N
137,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Unable to identify,,2018-04-21,2018-05-07,N
138,Cedarvale Terrace,429 Walmer Rd,LTCH,Enteric,Norovirus-like,,2018-04-19,2018-05-01,N
139,Leaside Retirement Residence,10/14 William Morgan Dr,Retirement Home,Enteric,Norovirus-like,,2018-04-19,2018-05-07,N
140,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,,2018-04-19,2018-04-28,N
141,Baycrest Hospital - 3W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-04-18,2018-04-25,N
142,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza B,,2018-04-18,2018-05-03,N
143,Eatonville Care Centre - 2nd Fl,420 The East Mall,LTCH,Enteric,Norovirus-like,,2018-04-18,2018-04-30,N
144,Amica at Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Influenza A (H3),,2018-04-17,2018-05-04,N
145,St. George Care Community - 1st Fl,225 St George St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-04-16,2018-04-27,N
146,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Respiratory,Metapneumovirus,,2018-04-16,2018-05-08,N
147,"Copernicus Lodge - 2N, 3N & 3S",66 Roncesvalles Ave,LTCH,Respiratory,Influenza A (H3),,2018-04-16,2018-04-28,N
148,Sunnybrook Health Sciences Centre - LSSE & LSSW,2075 Bayview Ave,LTCH,Respiratory,Metapneumovirus,Enterovirus/Rhinovirus,2018-04-15,2018-05-22,N
149,Vermont Square,914 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-04-15,2018-04-26,N
150,Cheltenham Care Community - 3rd Fl,5935 Bathurst St,LTCH,Respiratory,Unable to identify,,2018-04-13,2018-05-02,N
151,Rockcliffe Care Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Enteric,Unable to identify,,2018-04-13,2018-04-23,N
152,Baycrest Apotex Centre - Jewish Home for the Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-04-13,2018-04-21,N
153,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza B,,2018-04-12,2018-05-02,N
154,Hazelton Place,111 Avenue Rd,Retirement Home,Respiratory,Influenza B,,2018-04-11,2018-04-19,N
155,Rayoak Place Retirement Residence,1340 York Mills Rd,Retirement Home,Respiratory,Unable to identify,,2018-04-10,2018-04-19,N
156,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),,2018-04-10,2018-04-19,N
157,Extendicare Craiglee Nursing Home,102 Craiglee Dr,LTCH,Respiratory,Influenza B,,2018-04-09,2018-04-20,N
158,West Park Long Term Care Centre - 3rd Fl Glenwild & Raymore,82 Buttonwood Ave,LTCH,Respiratory,Influenza A (H3),,2018-04-09,2018-04-21,N
159,Bridgepoint Active Healthcare - 6 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza B,,2018-04-09,2018-04-19,N
160,Chartwell White Eagle Long Term Care Residence,138 Dowling Ave,LTCH,Respiratory,Influenza B,,2018-04-09,2018-04-28,N
161,The Wexford Residence,1860 Lawrence Ave E,LTCH,Enteric,Unable to identify,,2018-04-08,2018-04-22,N
162,Providence Healthcare - A4 East Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2018-04-07,2018-04-15,N
